City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,ouesso,1.6136,16.0517,23.57,87,97,0.82,CG,1690412934
223,keflavik,64.0049,-22.5624,12.95,82,75,3.6,IS,1690412716
224,coyuca de benitez,17.0333,-100.0667,31.59,61,49,4.05,MX,1690412935
225,sao gabriel da cachoeira,-0.1303,-67.0892,24.94,90,92,0.74,BR,1690412935
226,novyy urengoy,66.0833,76.6333,19.24,67,73,2.71,RU,1690412935
227,san blas,21.5167,-105.2667,28.94,66,97,2.37,MX,1690412935
228,pawai,24.2667,80.1667,29.29,63,93,2.03,IN,1690412935
229,dudinka,69.4058,86.1778,22.57,71,7,1.88,RU,1690412936
230,zheleznogorsk-ilimskiy,56.5768,104.1217,16.72,84,55,1.29,RU,1690412936
231,crespo,-32.0287,-60.3066,11.0,54,38,3.18,AR,1690412936
232,susuman,62.7833,148.1667,10.31,86,100,2.03,RU,1690412936
233,newman,37.3138,-121.0208,40.59,9,0,6.35,US,1690412375
234,amahai,-3.3333,128.9167,26.11,86,60,1.65,ID,1690412535
235,port blair,11.6667,92.75,28.02,83,75,3.6,IN,1690412510
236,palmas,-10.2128,-48.3603,27.93,44,0,2.06,BR,1690412408
237,marsabit,2.3284,37.9899,19.04,53,87,10.31,KE,1690412937
238,badger,64.8,-147.5333,27.77,56,75,0.0,US,1690412937
239,acarau,-2.8856,-40.12,26.03,80,30,8.28,BR,1690412937
240,toksovo,60.1532,30.5165,16.7,98,95,1.32,RU,1690412937
241,paracuru,-3.41,-39.0306,26.73,81,6,6.48,BR,1690412526
242,nadym,65.5333,72.5167,17.68,82,17,3.14,RU,1690412938
243,kingston,17.997,-76.7936,32.36,72,40,2.06,JM,1690412420
244,goure,13.9835,10.2704,31.68,41,99,3.95,NE,1690412938
245,anloga,5.7947,0.8973,24.84,92,63,4.43,GH,1690412504
246,san clemente,33.427,-117.612,42.93,76,19,1.34,US,1690412386
247,as salimiyah,29.3339,48.0761,37.72,30,4,4.1,KW,1690412939
248,touros,-5.1989,-35.4608,24.78,84,8,6.61,BR,1690412939
249,beboto,8.2668,16.939,21.36,95,98,1.04,TD,1690412940
250,kilindoni,-7.9139,39.6668,25.28,75,80,7.88,TZ,1690412940
251,sainte-suzanne,-20.9061,55.6089,20.12,82,20,2.57,RE,1690412940
252,kiruna,67.8557,20.2251,8.51,100,75,2.06,SE,1690412940
253,richards bay,-28.783,32.0377,18.46,69,0,8.27,ZA,1690412565
254,iskateley,67.6803,53.1512,14.74,75,49,1.75,RU,1690412941
255,olyokminsk,60.3736,120.4264,21.45,78,9,2.18,RU,1690412239
256,bauru,-22.3147,-49.0606,22.68,53,37,1.34,BR,1690412829
257,koumra,8.9126,17.5539,22.18,94,96,0.6,TD,1690412941
258,kovdor,67.5662,30.4758,11.72,92,100,0.45,RU,1690412942
259,fale old settlement,-9.3852,-171.2468,28.4,73,15,8.39,TK,1690412942
260,roma,43.2128,-75.4557,29.27,54,0,3.09,US,1690412190
261,kapoeta,4.7717,33.5903,21.72,90,100,2.73,SS,1690412943
262,nemuro,43.3236,145.575,17.39,96,81,0.67,JP,1690412229
263,happy valley-goose bay,53.3168,-60.3315,20.77,62,81,1.14,CA,1690412943
264,jinchang,38.4953,102.1739,23.06,45,100,0.91,CN,1690412944
265,epe,6.5841,3.9834,24.61,92,59,2.58,NG,1690412944
266,port alfred,-33.5906,26.891,15.1,91,100,3.13,ZA,1690412945
267,san patricio,28.017,-97.5169,36.4,48,0,7.87,US,1690412945
268,tessaoua,13.7574,7.9874,31.37,48,34,7.3,NE,1690412895
269,mirny,62.5353,113.9611,15.69,77,33,4.92,RU,1690412513
270,jatai,-17.8814,-51.7144,24.8,33,39,1.59,BR,1690412946
271,sur,22.5667,59.5289,28.46,72,88,6.12,OM,1690412946
272,magong,23.5654,119.5863,30.32,74,100,2.61,TW,1690412947
273,begamganj,23.6,78.3333,27.38,74,100,2.36,IN,1690412947
274,coquimbo,-29.9533,-71.3436,13.85,88,75,2.06,CL,1690412895
275,luanda,-8.8368,13.2343,21.0,94,40,2.57,AO,1690412456
276,codrington,-38.2667,141.9667,8.81,76,5,6.17,AU,1690412948
277,fengxian,34.7039,116.5872,24.69,87,12,3.68,CN,1690412948
278,gillette,44.2911,-105.5022,33.51,13,0,3.13,US,1690412948
279,aykhal,66.0,111.5,13.85,86,100,2.83,RU,1690412436
280,mandawar,29.5,78.1333,24.62,91,100,3.32,IN,1690412949
281,oranjemund,-28.55,16.4333,12.13,74,0,2.52,NA,1690412374
282,arkhangel'sk,64.5401,40.5433,14.38,86,100,1.67,RU,1690412508
283,aripuana,-9.1667,-60.6333,27.14,44,21,0.96,BR,1690412508
284,bengkulu,-3.8004,102.2655,23.8,91,75,2.37,ID,1690412950
285,constantia,44.1833,28.65,23.38,79,34,6.82,RO,1690412950
286,old orchard beach,43.5173,-70.3775,28.79,73,0,2.57,US,1690412950
287,fort bragg,35.139,-79.006,35.08,55,0,3.09,US,1690412366
288,nouadhibou,20.931,-17.0347,21.99,83,50,8.23,MR,1690412457
289,colonia,50.9333,6.95,17.81,72,0,3.6,DE,1690412349
290,mount isa,-20.7333,139.5,19.87,73,75,5.14,AU,1690412951
291,vorkuta,67.5,64.0,13.99,94,100,2.98,RU,1690412573
292,leiyang,26.4024,112.8591,26.46,92,57,1.45,CN,1690412951
293,corry,41.9203,-79.6403,27.52,57,36,4.84,US,1690412687
294,sinan,34.8262,126.1086,27.06,94,27,4.67,KR,1690412951
295,prainha,-1.8,-53.48,27.98,63,59,1.57,BR,1690412952
296,saint-philippe,-21.3585,55.7679,19.77,88,30,4.31,RE,1690412448
297,los llanos de aridane,28.6585,-17.9182,21.86,90,20,6.69,ES,1690412952
298,monze,-16.2833,27.4833,14.27,66,9,2.92,ZM,1690412952
299,kem',64.9555,34.5793,9.5,99,51,1.91,RU,1690412953
300,al majaridah,19.1236,41.9111,33.18,32,12,1.07,SA,1690412953
301,homa bay,-0.5273,34.4571,19.31,67,12,2.38,KE,1690412953
302,andergrove,-21.0833,149.1833,20.91,67,65,9.06,AU,1690412953
